school_id,division_num,division_nam,district_num,district_nam
232,3,Central Western,17,Lilongwe Rural West
232,3,Central Western,17,Lilongwe Rural West
232,3,Central Western,17,Lilongwe Rural West
233,3,Central Western,17,Lilongwe Rural West
233,3,Central Western,17,Lilongwe Rural West
233,3,Central Western,17,Lilongwe Rural West
234,3,Central Western,17,Lilongwe Rural West
234,3,Central Western,17,Lilongwe Rural West
235,3,Central Western,17,Lilongwe Rural West
235,3,Central Western,17,Lilongwe Rural West
235,3,Central Western,17,Lilongwe Rural West
236,3,Central Western,17,Lilongwe Rural West
236,3,Central Western,17,Lilongwe Rural West
236,3,Central Western,17,Lilongwe Rural West
237,3,Central Western,17,Lilongwe Rural West
237,3,Central Western,17,Lilongwe Rural West
237,3,Central Western,17,Lilongwe Rural West
238,3,Central Western,17,Lilongwe Rural West
238,3,Central Western,17,Lilongwe Rural West
239,3,Central Western,17,Lilongwe Rural West
239,3,Central Western,17,Lilongwe Rural West
240,3,Central Western,17,Lilongwe Rural West
240,3,Central Western,17,Lilongwe Rural West
240,3,Central Western,17,Lilongwe Rural West
241,3,Central Western,17,Lilongwe Rural West
241,3,Central Western,17,Lilongwe Rural West
242,3,Central Western,17,Lilongwe Rural West
242,3,Central Western,17,Lilongwe Rural West
242,3,Central Western,17,Lilongwe Rural West
243,3,Central Western,17,Lilongwe Rural West
243,3,Central Western,17,Lilongwe Rural West
244,3,Central Western,17,Lilongwe Rural West
244,3,Central Western,17,Lilongwe Rural West
245,3,Central Western,17,Lilongwe Rural West
245,3,Central Western,17,Lilongwe Rural West
245,3,Central Western,17,Lilongwe Rural West
246,3,Central Western,17,Lilongwe Rural West
246,3,Central Western,17,Lilongwe Rural West
246,3,Central Western,17,Lilongwe Rural West
247,3,Central Western,17,Lilongwe Rural West
247,3,Central Western,17,Lilongwe Rural West
248,3,Central Western,17,Lilongwe Rural West
248,3,Central Western,17,Lilongwe Rural West
248,3,Central Western,17,Lilongwe Rural West
249,3,Central Western,17,Lilongwe Rural West
249,3,Central Western,17,Lilongwe Rural West
249,3,Central Western,17,Lilongwe Rural West
250,3,Central Western,17,Lilongwe Rural West
250,3,Central Western,17,Lilongwe Rural West
250,3,Central Western,17,Lilongwe Rural West
251,3,Central Western,17,Lilongwe Rural West
251,3,Central Western,17,Lilongwe Rural West
252,3,Central Western,17,Lilongwe Rural West
252,3,Central Western,17,Lilongwe Rural West
253,3,Central Western,17,Lilongwe Rural West
253,3,Central Western,17,Lilongwe Rural West
253,3,Central Western,17,Lilongwe Rural West
255,6,Shire Highlands,33,Phalombe
255,6,Shire Highlands,33,Phalombe
256,3,Central Western,18,Dedza
256,3,Central Western,18,Dedza
256,3,Central Western,18,Dedza
257,3,Central Western,18,Dedza
257,3,Central Western,18,Dedza
258,3,Central Western,18,Dedza
258,3,Central Western,18,Dedza
258,3,Central Western,18,Dedza
259,3,Central Western,18,Dedza
259,3,Central Western,18,Dedza
259,3,Central Western,18,Dedza
260,3,Central Western,18,Dedza
260,3,Central Western,18,Dedza
261,3,Central Western,18,Dedza
261,3,Central Western,18,Dedza
262,3,Central Western,18,Dedza
262,3,Central Western,18,Dedza
262,3,Central Western,18,Dedza
263,3,Central Western,18,Dedza
263,3,Central Western,18,Dedza
263,3,Central Western,18,Dedza
264,3,Central Western,18,Dedza
264,3,Central Western,18,Dedza
264,3,Central Western,18,Dedza
265,3,Central Western,18,Dedza
265,3,Central Western,18,Dedza
265,3,Central Western,18,Dedza
266,3,Central Western,18,Dedza
266,3,Central Western,18,Dedza
266,3,Central Western,18,Dedza
267,3,Central Western,18,Dedza
267,3,Central Western,18,Dedza
267,3,Central Western,18,Dedza
268,3,Central Western,18,Dedza
268,3,Central Western,18,Dedza
268,3,Central Western,18,Dedza
269,3,Central Western,18,Dedza
269,3,Central Western,18,Dedza
270,3,Central Western,18,Dedza
270,3,Central Western,18,Dedza
270,3,Central Western,18,Dedza
271,3,Central Western,14,Mchinji
272,3,Central Western,19,Ntcheu
272,3,Central Western,19,Ntcheu
273,3,Central Western,19,Ntcheu
273,3,Central Western,19,Ntcheu
274,3,Central Western,19,Ntcheu
275,3,Central Western,19,Ntcheu
275,3,Central Western,19,Ntcheu
276,3,Central Western,19,Ntcheu
277,3,Central Western,19,Ntcheu
278,3,Central Western,19,Ntcheu
279,3,Central Western,19,Ntcheu
280,3,Central Western,19,Ntcheu
280,3,Central Western,19,Ntcheu
281,3,Central Western,19,Ntcheu
282,3,Central Western,19,Ntcheu
282,3,Central Western,19,Ntcheu
283,3,Central Western,19,Ntcheu
284,3,Central Western,19,Ntcheu
284,3,Central Western,19,Ntcheu
285,3,Central Western,19,Ntcheu
285,3,Central Western,19,Ntcheu
286,3,Central Western,19,Ntcheu
287,3,Central Western,19,Ntcheu
288,3,Central Western,19,Ntcheu
289,3,Central Western,19,Ntcheu
290,3,Central Western,19,Ntcheu
290,3,Central Western,19,Ntcheu
291,3,Central Western,19,Ntcheu
292,3,Central Western,19,Ntcheu
293,3,Central Western,19,Ntcheu
293,3,Central Western,19,Ntcheu
294,3,Central Western,19,Ntcheu
295,2,Central Eastern,11,Dowa
295,2,Central Eastern,11,Dowa
295,2,Central Eastern,11,Dowa
297,4,Southern Eastern,20,Mangochi
297,4,Southern Eastern,20,Mangochi
297,4,Southern Eastern,20,Mangochi
298,4,Southern Eastern,20,Mangochi
298,4,Southern Eastern,20,Mangochi
298,4,Southern Eastern,20,Mangochi
299,4,Southern Eastern,20,Mangochi
299,4,Southern Eastern,20,Mangochi
299,4,Southern Eastern,20,Mangochi
300,4,Southern Eastern,20,Mangochi
300,4,Southern Eastern,20,Mangochi
300,4,Southern Eastern,20,Mangochi
301,4,Southern Eastern,20,Mangochi
301,4,Southern Eastern,20,Mangochi
301,4,Southern Eastern,20,Mangochi
302,4,Southern Eastern,20,Mangochi
302,4,Southern Eastern,20,Mangochi
302,4,Southern Eastern,20,Mangochi
303,4,Southern Eastern,20,Mangochi
303,4,Southern Eastern,20,Mangochi
303,4,Southern Eastern,20,Mangochi
304,4,Southern Eastern,20,Mangochi
304,4,Southern Eastern,20,Mangochi
304,4,Southern Eastern,20,Mangochi
305,4,Southern Eastern,20,Mangochi
305,4,Southern Eastern,20,Mangochi
305,4,Southern Eastern,20,Mangochi
306,4,Southern Eastern,20,Mangochi
306,4,Southern Eastern,20,Mangochi
306,4,Southern Eastern,20,Mangochi
307,4,Southern Eastern,20,Mangochi
307,4,Southern Eastern,20,Mangochi
307,4,Southern Eastern,20,Mangochi
308,4,Southern Eastern,20,Mangochi
308,4,Southern Eastern,20,Mangochi
308,4,Southern Eastern,20,Mangochi
309,1,Northern,4,Mzimba North
309,1,Northern,4,Mzimba North
310,5,Southern Western,29,Nsanje
311,4,Southern Eastern,21,Balaka
311,4,Southern Eastern,21,Balaka
312,4,Southern Eastern,21,Balaka
313,4,Southern Eastern,21,Balaka
314,4,Southern Eastern,21,Balaka
314,4,Southern Eastern,21,Balaka
315,4,Southern Eastern,21,Balaka
316,4,Southern Eastern,21,Balaka
316,4,Southern Eastern,21,Balaka
317,4,Southern Eastern,21,Balaka
318,6,Shire Highlands,32,Mulanje
318,6,Shire Highlands,32,Mulanje
318,6,Shire Highlands,32,Mulanje
319,4,Southern Eastern,21,Balaka
319,4,Southern Eastern,21,Balaka
320,4,Southern Eastern,21,Balaka
321,4,Southern Eastern,21,Balaka
322,3,Central Western,14,Mchinji
322,3,Central Western,14,Mchinji
323,6,Shire Highlands,30,Chiradzulu
324,4,Southern Eastern,22,Machinga
324,4,Southern Eastern,22,Machinga
325,4,Southern Eastern,22,Machinga
325,4,Southern Eastern,22,Machinga
325,4,Southern Eastern,22,Machinga
326,4,Southern Eastern,22,Machinga
326,4,Southern Eastern,22,Machinga
326,4,Southern Eastern,22,Machinga
327,4,Southern Eastern,22,Machinga
327,4,Southern Eastern,22,Machinga
327,4,Southern Eastern,22,Machinga
328,4,Southern Eastern,22,Machinga
328,4,Southern Eastern,22,Machinga
328,4,Southern Eastern,22,Machinga
329,4,Southern Eastern,22,Machinga
329,4,Southern Eastern,22,Machinga
329,4,Southern Eastern,22,Machinga
330,4,Southern Eastern,22,Machinga
330,4,Southern Eastern,22,Machinga
330,4,Southern Eastern,22,Machinga
331,4,Southern Eastern,22,Machinga
331,4,Southern Eastern,22,Machinga
332,4,Southern Eastern,22,Machinga
332,4,Southern Eastern,22,Machinga
333,4,Southern Eastern,22,Machinga
333,4,Southern Eastern,22,Machinga
334,2,Central Eastern,11,Dowa
334,2,Central Eastern,11,Dowa
334,2,Central Eastern,11,Dowa
336,2,Central Eastern,10,Nkhotakota
336,2,Central Eastern,10,Nkhotakota
336,2,Central Eastern,10,Nkhotakota
337,2,Central Eastern,11,Dowa
337,2,Central Eastern,11,Dowa
338,2,Central Eastern,12,Ntchisi
338,2,Central Eastern,12,Ntchisi
339,4,Southern Eastern,24,Zomba Rural
339,4,Southern Eastern,24,Zomba Rural
340,4,Southern Eastern,24,Zomba Rural
341,4,Southern Eastern,24,Zomba Rural
342,4,Southern Eastern,24,Zomba Rural
343,4,Southern Eastern,24,Zomba Rural
343,4,Southern Eastern,24,Zomba Rural
344,4,Southern Eastern,24,Zomba Rural
344,4,Southern Eastern,24,Zomba Rural
345,4,Southern Eastern,24,Zomba Rural
346,4,Southern Eastern,24,Zomba Rural
346,4,Southern Eastern,24,Zomba Rural
347,4,Southern Eastern,24,Zomba Rural
347,4,Southern Eastern,24,Zomba Rural
348,4,Southern Eastern,24,Zomba Rural
349,4,Southern Eastern,24,Zomba Rural
350,3,Central Western,19,Ntcheu
350,3,Central Western,19,Ntcheu
351,2,Central Eastern,11,Dowa
351,2,Central Eastern,11,Dowa
351,2,Central Eastern,11,Dowa
352,2,Central Eastern,11,Dowa
352,2,Central Eastern,11,Dowa
352,2,Central Eastern,11,Dowa
353,3,Central Western,19,Ntcheu
355,3,Central Western,19,Ntcheu
356,5,Southern Western,26,Blantyre Rural
356,5,Southern Western,26,Blantyre Rural
357,5,Southern Western,26,Blantyre Rural
358,5,Southern Western,26,Blantyre Rural
359,5,Southern Western,26,Blantyre Rural
360,5,Southern Western,26,Blantyre Rural
361,5,Southern Western,26,Blantyre Rural
362,5,Southern Western,26,Blantyre Rural
363,5,Southern Western,26,Blantyre Rural
364,5,Southern Western,26,Blantyre Rural
365,5,Southern Western,26,Blantyre Rural
365,5,Southern Western,26,Blantyre Rural
367,2,Central Eastern,11,Dowa
367,2,Central Eastern,11,Dowa
367,2,Central Eastern,11,Dowa
368,5,Southern Western,27,Mwanza
368,5,Southern Western,27,Mwanza
369,5,Southern Western,27,Mwanza
370,5,Southern Western,27,Mwanza
370,5,Southern Western,27,Mwanza
371,5,Southern Western,27,Mwanza
372,5,Southern Western,27,Mwanza
372,5,Southern Western,27,Mwanza
373,5,Southern Western,27,Mwanza
373,5,Southern Western,27,Mwanza
374,5,Southern Western,27,Mwanza
375,5,Southern Western,27,Mwanza
376,5,Southern Western,27,Mwanza
377,5,Southern Western,27,Mwanza
380,5,Southern Western,28,Chikwawa
380,5,Southern Western,28,Chikwawa
380,5,Southern Western,28,Chikwawa
381,5,Southern Western,28,Chikwawa
381,5,Southern Western,28,Chikwawa
381,5,Southern Western,28,Chikwawa
382,5,Southern Western,28,Chikwawa
382,5,Southern Western,28,Chikwawa
382,5,Southern Western,28,Chikwawa
383,5,Southern Western,28,Chikwawa
383,5,Southern Western,28,Chikwawa
383,5,Southern Western,28,Chikwawa
